date,skill_abr,skill_count
"2019-10-01 00:00:00","node.js","4005"
"2019-10-01 00:00:00","spring-boot","1938"
"2019-10-01 00:00:00","flutter","1838"
"2019-10-01 00:00:00","docker","1625"
"2019-10-01 00:00:00","kubernetes","838"
"2019-10-01 00:00:00","machine-learning","610"
"2019-10-01 00:00:00","deep-learning","325"
"2019-10-01 00:00:00","solidity","30"
"2019-11-01 00:00:00","python","20499"
"2019-11-01 00:00:00","java","10255"
"2019-11-01 00:00:00","reactjs","5441"
"2019-11-01 00:00:00","sql","4402"
"2019-11-01 00:00:00","node.js","4093"
"2019-11-01 00:00:00","flutter","1853"
"2019-11-01 00:00:00","spring-boot","1809"
"2019-11-01 00:00:00","docker","1482"
"2019-11-01 00:00:00","kubernetes","844"
"2019-11-01 00:00:00","machine-learning","701"
"2019-11-01 00:00:00","deep-learning","346"
"2019-11-01 00:00:00","solidity","30"
"2019-12-01 00:00:00","python","18001"
"2019-12-01 00:00:00","java","8957"
"2019-12-01 00:00:00","reactjs","5110"
"2019-12-01 00:00:00","sql","3930"
"2019-12-01 00:00:00","node.js","3677"
"2019-12-01 00:00:00","flutter","2147"
"2019-12-01 00:00:00","spring-boot","1572"
"2019-12-01 00:00:00","docker","1347"
"2019-12-01 00:00:00","machine-learning","785"
"2019-12-01 00:00:00","kubernetes","711"
"2019-12-01 00:00:00","deep-learning","387"
"2019-12-01 00:00:00","solidity","22"
"2020-01-01 00:00:00","python","19847"
"2020-01-01 00:00:00","java","9853"
"2020-01-01 00:00:00","reactjs","5913"
"2020-01-01 00:00:00","node.js","4348"
"2020-01-01 00:00:00","sql","4183"
"2020-01-01 00:00:00","flutter","2311"
"2020-01-01 00:00:00","spring-boot","1760"
"2020-01-01 00:00:00","docker","1575"
"2020-01-01 00:00:00","kubernetes","881"
"2020-01-01 00:00:00","machine-learning","687"
"2020-01-01 00:00:00","deep-learning","388"
"2020-01-01 00:00:00","solidity","29"
"2020-02-01 00:00:00","python","19900"
"2020-02-01 00:00:00","java","9966"
"2020-02-01 00:00:00","reactjs","5795"
"2020-02-01 00:00:00","sql","4314"
"2020-02-01 00:00:00","node.js","3978"
"2020-02-01 00:00:00","flutter","2212"
"2020-02-01 00:00:00","spring-boot","1723"
"2020-02-01 00:00:00","docker","1650"
"2020-02-01 00:00:00","kubernetes","895"
"2020-02-01 00:00:00","machine-learning","701"
"2020-02-01 00:00:00","deep-learning","374"
"2020-02-01 00:00:00","solidity","22"
"2020-03-01 00:00:00","python","22515"
"2020-03-01 00:00:00","java","10999"
"2020-03-01 00:00:00","reactjs","6604"
"2020-03-01 00:00:00","node.js","4554"
"2020-03-01 00:00:00","sql","4492"
"2020-03-01 00:00:00","flutter","2508"
"2020-03-01 00:00:00","spring-boot","2030"
"2020-03-01 00:00:00","docker","1782"
"2020-03-01 00:00:00","kubernetes","889"
"2020-03-01 00:00:00","machine-learning","781"
"2020-03-01 00:00:00","deep-learning","431"
"2020-03-01 00:00:00","solidity","12"
"2020-04-01 00:00:00","python","27455"
"2020-04-01 00:00:00","java","12532"
"2020-04-01 00:00:00","reactjs","8199"
"2020-04-01 00:00:00","node.js","5439"
"2020-04-01 00:00:00","sql","4911"
"2020-04-01 00:00:00","flutter","3408"
"2020-04-01 00:00:00","spring-boot","2427"
"2020-04-01 00:00:00","docker","1934"
"2020-04-01 00:00:00","kubernetes","1021"
"2020-04-01 00:00:00","machine-learning","760"
"2020-04-01 00:00:00","deep-learning","417"
"2020-04-01 00:00:00","solidity","29"
"2020-05-01 00:00:00","python","29249"
"2020-05-01 00:00:00","java","11925"
"2020-05-01 00:00:00","reactjs","8291"
"2020-05-01 00:00:00","node.js","5842"
"2020-05-01 00:00:00","sql","4838"
"2020-05-01 00:00:00","flutter","3763"
"2020-05-01 00:00:00","spring-boot","2266"
"2020-05-01 00:00:00","docker","1998"
"2020-05-01 00:00:00","kubernetes","978"
"2020-05-01 00:00:00","machine-learning","843"
"2020-05-01 00:00:00","deep-learning","520"
"2020-05-01 00:00:00","solidity","43"
"2020-06-01 00:00:00","python","26962"
"2020-06-01 00:00:00","java","10754"
"2020-06-01 00:00:00","reactjs","7956"
"2020-06-01 00:00:00","node.js","5268"
"2020-06-01 00:00:00","sql","4581"
"2020-06-01 00:00:00","flutter","3520"
"2020-06-01 00:00:00","spring-boot","2193"
"2020-06-01 00:00:00","docker","1904"
"2020-06-01 00:00:00","kubernetes","939"
